id	authors	date	title	journal	doi
https://www.zotero.org/groups/bat_literature_project/items/3K3FHVNT	Stockwell	2001	Morphology and ¯ight manoeuvrability in New World leaf-nosed bats (Chiroptera: Phyllostomidae)	J. Zool., Lond.	
https://www.zotero.org/groups/bat_literature_project/items/76RNBXRP	Sophia	2010	Foraging behaviour of the microchiropteran bat, Hipposideros ater on chosen insect pests	Journal of Biopesticides	
https://www.zotero.org/groups/bat_literature_project/items/49BKRC4V	Schulze | Seavy | Whitacre	2000	A Comparison of the Phyllostomid Bat Assemblages in Undisturbed Neotropical Forest and in Forest Fragments of a Slash-and-Burn Farming Mosaic in Peten, Guatemala’	BlOTROPlCA	
https://www.zotero.org/groups/bat_literature_project/items/THC98CTZ	Siemers | Dietz | Nill | Schnitzler	2001	Myotis daubentonii is able to catch small fish	Acta Chiropterologica	
https://www.zotero.org/groups/bat_literature_project/items/QYVI3J3L	Rollinson | Coleman | Downs	2013	Seasonal differences in foraging dynamics, habitat use and home range size of Wahlberg’s epauletted fruit bat in an urban environment	African Zoology	
https://www.zotero.org/groups/bat_literature_project/items/XN563HNJ	Reinhardt | Jacobs	2006	Abundance of Cacodmus villosus (Stål, 1855) (Heteroptera: Cimicidae) on its host, Neoromicia capensis (Chiroptera: Vespertillionidae)	AfricanEntomology	
https://www.zotero.org/groups/bat_literature_project/items/5CATHZZU	Quesada | Stoner | Munguia-Rosas | OAalazar | Rosas-Guerrero	2004	Effects of Forest Fragmentation on Pollinator Activity and Consequences for Plant Reproductive Success and Mating Patterns in Bat-pollinated Bombacaceous Trees'	BIOTROPICA	
https://www.zotero.org/groups/bat_literature_project/items/ZGWTCUNG	Peterlinder	2003	CONTRASTING FLOWERING PHENOLOGY AND SPECIES RICHNESS IN ABIOTICALLY AND BIOTICALLY POLLINATED ANGIOSPERMS	Evolution	
https://www.zotero.org/groups/bat_literature_project/items/HWZNCE3B	Poulsen | Clark | Connor | Smith	2002	DIFFERENTIAL RESOURCE USE BY PRIMATES AND HORNBILLS: IMPLICATIONS FOR SEED DISPERSAL	Ecology and Evolution228-240	
https://www.zotero.org/groups/bat_literature_project/items/9PYSTE2Q	Pavey | Burwell | Grunwald | Marshall | Neuweiler	2001	Dietary Beneﬁts of Twilight Foraging by the Insectivorous Bat Hipposideros speoris	BIOTROPICA	
https://www.zotero.org/groups/bat_literature_project/items/9C882EZL	Oliveira | Mori	1999	A central Amazonian terra firme forest. I. High tree species richness on poor soils	Biodiversity and Conservation	
https://www.zotero.org/groups/bat_literature_project/items/KG43MQIX	Núñez-Avellaneda | Rojas-Robles	2008	BIOLOGÍA REPRODUCTIVA Y ECOLOGÍA DE LA POLINIZACIÓN DE LA PALMA MILPESOS OENOCARPUS BATAUA EN LOS ANDES COLOMBIANOS	Caldasia	
https://www.zotero.org/groups/bat_literature_project/items/XDLUYAXG	Muchhala	2002	Flower Visitation by Bats in Cloud Forests of Western Ecuador'	BlOTROPlCA	
https://www.zotero.org/groups/bat_literature_project/items/KPRYJK4L	Novoa | Cadenillas	2011	DISPERSIÓN DE SEMILLAS POR MURCIÉLAGOS FRUGÍVOROS EN BOSQUES DEL PARQUE NACIONAL CERROS DE AMOTAPE, TUMBES, PERÚ	Mastozoología Neotropical	
https://www.zotero.org/groups/bat_literature_project/items/QG7NHERZ	Muller	1992	PARTiÇÃO DE RECURSOS ALIMENTARES ENTRE QUATRO ESPÉCIES DE MORCEGOS FRUGfVOROS (CHIROPTERA, PHYLLOSTOMIDAE)	Revta bras. Zool.	
https://www.zotero.org/groups/bat_literature_project/items/NVZQYZT3	Naidoo | Vosloo | Schoeman	2013	Foraging at wastewater treatment works increases the potential for metal accumulation in an urban adapter, the banana bat	African Zoology	
https://www.zotero.org/groups/bat_literature_project/items/BWX3PZ7X	Molinari | Gutiérrez | Ascenção | Nas | Arends | Már	2005	Predation by Giant Centipedes, Scolopendra gigantea, on Three Species of Bats in a Venezuelan Cave	Caribbean Journal of Science	
https://www.zotero.org/groups/bat_literature_project/items/C47C4QKK	Mikich	2002	A dieta dos morcegos fruglvoros (Mammalia, Chiroptera, Phyllostomidae) de urn pequeno remanescente de Floresta Estacional Semidecidual do sui do Brasil	Revta bras. ZooI.	
https://www.zotero.org/groups/bat_literature_project/items/B2F5HEMH	Mello | Nobre | Manhães | Pereira	2014	FRUGIVORY BY PHYLLOSTOMIDAE BATS IN A MONTANE ATLANTIC FOREST, SOUTHEASTERN MINAS GERAIS, BRAZIL	ECOTROPICA	
https://www.zotero.org/groups/bat_literature_project/items/33N4CC2J	Medina | Harvey	2007	Bat Diversity and Movement in an Agricultural Landscape in Matigua´ s, Nicaragua	BIOTROPICA	
https://www.zotero.org/groups/bat_literature_project/items/CQB3AKKP	McAllister | Upton | Bursey	2004	Parasites (Coccidia, Trematoda, Nematoda) from Selected Bats of Arkansas	Journal of the Arkansas Academy of Science	
https://www.zotero.org/groups/bat_literature_project/items/HPFU2N68	Lim | Engstrom	2000	PRELIMINARY SURVEY OF BATS FROM THE UPPER MAZARUNI OF GUYANA	Chiroptera Neotropical	
https://www.zotero.org/groups/bat_literature_project/items/C3W4AAMD	Law | Urquhart	2000	DIET OF THE LARGE-FOOTED MYOTIS MYOTIS MACROPUS AT A FOREST STREAM ROOST IN NORTHERN NEW SOUTH WALES	AUSTRALIAN MAMMALOGY	
https://www.zotero.org/groups/bat_literature_project/items/GWU3WKX9	Koopman | Mumford | Heisterberg	1978	Bat Records from Upper Volta, West Africa	American Museum Novitates	
https://www.zotero.org/groups/bat_literature_project/items/8257K4JM	Kelly	1994	Theevolutionaryecologyof mast ing	Tree	
https://www.zotero.org/groups/bat_literature_project/items/GG2URFCD	Johnston | Herrod | Little | Bould | Gigliotti	2015	An opportunistic observation of Ghost Bat (Macroderma gigas) predation on six bird species within Karijini National Park	Journal of the Royal Society of Western Australia	
https://www.zotero.org/groups/bat_literature_project/items/DFYHTPH9	Horner | Fleming | Sahey	1998	Foraging behaviour and energetics of a nectar-feeding bat,  Leptonycteris curasoae  (Chiroptera: Phyllostomidae)	J. Zool., Lond.	
https://www.zotero.org/groups/bat_literature_project/items/LFIX7Q6T	Konuma | Chiba	2007	Trade-Offs between Force and Fit: Extreme Morphologies Associated with Feeding Behavior in Carabid Beetles	The American Naturalist	
https://www.zotero.org/groups/bat_literature_project/items/2HCJPYIZ	Hodgkison | Balding | Zubaid | Kunz	2004	Temporal Variation in the Relative Abundance of Fruit Bats (Megachiroptera: Pteropodidae) in Relation to the Availability of Food in a Lowland Malaysian Rain Forest’	BlOTROPlCA	
https://www.zotero.org/groups/bat_literature_project/items/4M26SFC8	Hirakawa	2006	Daytime feeding in an insectivorous bat	Bulletin of the Asian Bat Research Institute	
https://www.zotero.org/groups/bat_literature_project/items/28QTJX4H	Herrera	2000	FLOWER-TO-SEEDLING CONSEQUENCES OF DIFFERENT POLLINATION REGIMES IN AN INSECT-POLLINATED SHRUB	Ecology	
https://www.zotero.org/groups/bat_literature_project/items/GKAK7ANC	Goodwin	1979	THE BATS OF TIMOR: SYSTEMATICS AND ECOLOGY	BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY	
https://www.zotero.org/groups/bat_literature_project/items/UL644M73	Galorio | Nuñeza	2014	Diet of cave-dwelling bats in Bukidnon and Davao Oriental, Philippines	ABAH Bioflux	
https://www.zotero.org/groups/bat_literature_project/items/WJYFGS5M	K�chmeister | Silberbauer-Gottsberger | Gottsberger	1997	Flowering, pollination, nectar standing crop, and nectaries ofEuterpe precatoria (Arecaceae), an Amazonian rain forest palm	Plant Systematics and Evolution	10.1007/BF00987942
https://www.zotero.org/groups/bat_literature_project/items/KXHTRWGM	Futuyma | Moreno	1988	The Evolution of Ecological Specialization	Ann. Rev. Ecol. Syst.	
https://www.zotero.org/groups/bat_literature_project/items/I7TZUB7X	Franceschinelli	2005	The pollination biology of two species of Helicteres (Malvaceae) with different mechanisms of pollen deposition	Flora	
https://www.zotero.org/groups/bat_literature_project/items/C3DBBCB3	Foresta | Lescure	1991	Les formations secondaires	Revue Bois et Forets Tropiques	
https://www.zotero.org/groups/bat_literature_project/items/LHU66IZF	Fleming	2000	Pollination of Cacti in the Sonoran Desert	American Scientist	
https://www.zotero.org/groups/bat_literature_project/items/MXW6YDZY	Fenton | Taylor | Jacobs | Richardson | Bouchard | Debaeremaeker | Ter | Hollis | Lausen | Lister | Ratcliffe | Reddy	2002	Researching little-known species: the African bat Otomops martiensseni (Chiroptera: Molossidae)	Biodiversity and Conservation	
https://www.zotero.org/groups/bat_literature_project/items/JT7EAL7L	Elzinga | Atlan | Biere | Gigord | Weis | Bernasconi	2007	Time after time: ﬂowering phenology and biotic interactions	TRENDS in Ecology and Evolution	
https://www.zotero.org/groups/bat_literature_project/items/Z2W8K3G9	Ecroyd | Franich | Kroese | Steward	1995	VOLATILE CONSTITUENTS OF DACTYLANTHUS TAYLORH FLOWER NECTAR IN RELATION TO FLOWER POLLINATION AND BROWSING BY ANIMALS	Phytochemistry	
https://www.zotero.org/groups/bat_literature_project/items/GRJUVAZK	Estrada-Villegas | Pérez-Torres	2010	ENSAMBLAJE DE MURCIÉLAGOS EN UN BOSQUE SUBANDINO COLOMBIANO Y ANÁLISIS SOBRE LA DIETA DE ALGUNAS ESPECIES	Mastozoología Neotropical	
https://www.zotero.org/groups/bat_literature_project/items/QFE9Q7EA	Dolbeer | Fiedler | Rasheed	1988	MANAGEMENT OF FRUIT BAT AND RAT POPULATIONS IN THE MALDIVE ISLANDS, INDIAN OCEAN	Proceedings of the Thirteenth Vertebrate Pest Conference	
https://www.zotero.org/groups/bat_literature_project/items/VC8K46EC	Djossa | Fahr | Kalko | Sinsin	2008	FRUIT SELECTION AND EFFECTS OF SEED HANDLING BY FLYING FOXES ON GERMINATION RATES OF SHEA TREES, A KEY RESOURCE IN NORTHERN BENIN, WEST AFRICA	ECOTROPICA	
https://www.zotero.org/groups/bat_literature_project/items/NJH63YJI	Dick	2006	THE STREBLID BAT FLIES (DIPTERA: STREBLIDAE) OF GUATEMALA	Biodiversidad de Guatemala	
https://www.zotero.org/groups/bat_literature_project/items/LBMD3NQA	Delorme | Thomas	1996	Nitrogen and energy requirements of the short-tailed fruit bat (Carollia perspicillata): fruit bats are not nitrogen constrained	J Comp Physiol B	
https://www.zotero.org/groups/bat_literature_project/items/J98JKURD	Degawa | Gams	2004	A new species of Mortierella, and an associated sporangiiferous mycoparasite in a new genus, Nothadelphia	STUDIES IN MYCOLOGY	
https://www.zotero.org/groups/bat_literature_project/items/K4EP25RN	Corlett	1998	Frugivory and seed dispersal by vertebrates in the Oriental (Indomalayan) Region	Biol. Rev.	
https://www.zotero.org/groups/bat_literature_project/items/WZIXKLEQ	Charlesworth | Charlesworth	1987	Inbreeding Depression and its Evolutionary Consequences	Annual Review of Ecology and Systematics	
https://www.zotero.org/groups/bat_literature_project/items/PKG6AY5F	DeFilipps	2000	Gesneriads Turn on The Guiding Light	The Plant Press	
https://www.zotero.org/groups/bat_literature_project/items/3XIFHGC7	DeBlase	1980	The bats of Iran : systematics, distribution, ecology	Fieldiana Zoology	
https://www.zotero.org/groups/bat_literature_project/items/BUJGY65C	Carter | Menzel | Owen | Edwards | Menzel | Ford	2003	Food Habits of Seven Species of Bats in the Allegheny Plateau and Ridge and Valley of West Virginia	Northeastern Naturalist	
https://www.zotero.org/groups/bat_literature_project/items/WZHHS6UX	Bolmgren | Eriksson	2005	Á Fleshy fruits / origins, niche shifts, and diversiﬁcation	OIKOS	
https://www.zotero.org/groups/bat_literature_project/items/Y96IISLQ	Charles-Dominique	1993	Speciation and coevolution: an interpretation of frugivory phenomena	Vegetatio	
https://www.zotero.org/groups/bat_literature_project/items/XADLA7DA	Buzato | Franco	1992	Tetrastylis ovMis: a second case of bat-pollinated passionflower (Passitloraceae)	P1. Syst. Evol.	
https://www.zotero.org/groups/bat_literature_project/items/LJJINRFA	Bonaccorso | Winkelmann | Dumont	2002	Home Range of Dobsonia minor (Pteropodidae): A Solitary, Foliage-Roosting Fruit Bat in Papua New Guinea	Biotropica	
https://www.zotero.org/groups/bat_literature_project/items/USWDNRV5	Bergmans	1975	(Mammalia, Megachiroptera)	Beaufortia	
https://www.zotero.org/groups/bat_literature_project/items/MI5AXYI9	Bleiwess	1998	Tempo and mode of hummingbird evolution	Biological Journal of the Linnean Society	
https://www.zotero.org/groups/bat_literature_project/items/KEZAJZEU	Bernard | Fenton	2003	Bat Mobility and Roosts in a Fragmented Landscape in Central Amazonia, Brazil'	BlOTROPlCA	
https://www.zotero.org/groups/bat_literature_project/items/ZP72QEU9	Bawa	1990	Plant-Pollinator Interactions in Tropical Rain Forests	Annu.Rev. Ecol. Syst.	
https://www.zotero.org/groups/bat_literature_project/items/D87TYSNE	Barclay | Brigham	1996	Bats and Forests Symposium — October 19–21, 1995 Victoria, British Columbia, Canada		
https://www.zotero.org/groups/bat_literature_project/items/JFHWAJSV	Banack	1998	DIET SELECTION AND RESOURCE USE BY FLYING FOXES (GENUS PTEROPUS)	Ecology	
https://www.zotero.org/groups/bat_literature_project/items/E3JIGG59	Armando	1968	THE NATURAL HISTORY OF THE FISH-EATING BAT, PIZONYX VIVESI.		
https://www.zotero.org/groups/bat_literature_project/items/ETW92ERW	Baker	1970	Two cases 01 bat pollination in Central America	REVISTA DE BIOLOGIA TROPICAL	
https://www.zotero.org/groups/bat_literature_project/items/VDUIWJL7	Stager	05/1941	A Group of Bat-Eating Duck Hawks	The Condor	10.2307/1364367
https://www.zotero.org/groups/bat_literature_project/items/HK8K2BZX	Arata | Vaughn | Thomas	11/1967	Food Habits of Certain Colombian Bats	Journal of Mammalogy	10.2307/1377595
https://www.zotero.org/groups/bat_literature_project/items/E856HZCN	Tuttle	1968-11-26	Feeding Habits of Artibeus jamaicensis	Journal of Mammalogy	10.2307/1378758
https://www.zotero.org/groups/bat_literature_project/items/PL52YFYA	Liat	1970-02-20	Food Habits and Breeding Cycle of the Malaysian Fruit-Eating Bat, Cynopterus brachyotis	Journal of Mammalogy	10.2307/1378555
https://www.zotero.org/groups/bat_literature_project/items/TPHL9S4T	Prance	07/1974	A New Peruvian Species of Chiropterophilous Couepia (Chrysobalanaceae)	Brittonia	10.2307/2805731
https://www.zotero.org/groups/bat_literature_project/items/6VAUTMW3	Valdez | LaVal	1971-02-26	Records of Bats from Honduras and Nicaragua	Journal of Mammalogy	10.2307/1378465
https://www.zotero.org/groups/bat_literature_project/items/KSFMYP9R	Easterla	1972-10-06	Status of Leptonycteris niv alis (Phyllostomatidae) in Big Bend National Park, Texas	The Southwestern Naturalist	10.2307/3670176
