authors,date,title,journal,type,volume,issue,pages,doi,id,attachment,attachmentId,corpusId
O'Farrell | Miller,09/1999,Use of Vocal Signatures for the Inventory of Free‐flying Neotropical Bats<sup>1</sup>,Biotropica,journalArticle,31,3,507-516,10.1111/j.1744-7429.1999.tb00394.x,https://www.zotero.org/groups/6151809/items/FLZS6NEQ,https://api.zotero.org/groups/6151809/items/TJRU5KSA,hash://md5/d1e9486478b53eac51fc3a1b282d83f3,hash://md5/f99d2bb0c26c18e8c0a4a76d0f633f4f
Ortega | Arita,1999,Structure and social dynamics of harem groups in Artibeus Jamaicensis Chirop...,Journal of Mammalogy,journalArticle,80,4,,,https://www.zotero.org/groups/6151809/items/WLND9VM6,https://api.zotero.org/groups/6151809/items/ZV4UTFR3,hash://md5/7409934273f3dadcf421a6690a90af2c,hash://md5/f99d2bb0c26c18e8c0a4a76d0f633f4f
